Croatian,English
hodao sam,i walked
Htio bih naučiti neke nove riječi na hrvatskom,I'd like to learn some new words in Croatian
"htjeli smo, ali smo bili preumorni",we wanted but we were to tired
hvala na pomoći,thanks for your help
hvala puno,thankyoy very much
Hvala vam na pomoći,thankyou for your help
"i ja, volim igrati nogomet","me too, i love playing soccer"
ići na spavanje,go to sleep
idem kuhati,im going to cook
idem nešto pojesti,im going to eat something
idem pod tuš,i'm going for a shower
idem pronaći hranu,im going to find food
idem se presvući,im going to change clothes
idem skuhati večeru,i am going to cook dinner
idem u krevet,I’m going to bed
idem u šetnju,i'm going for a walk
idemo,lets go
idemo na piće,lets get a drink
idemo na ručak,lets go have lunch
idemo na večeru,let's get dinner
idemo na večeru,lets have dinner
idemo na večeru,let’s get dinner
idemo nešto pojesti,lets go eat something
idemo pojesti nesto,Let's go eat something.
idemo pronaći mjesto,lets go find a place
Idemo prošetati.,Let's go for a walk.
Idemo u dućane.,We are going to the shops.
igrati se,to play
ima,it has
ima li,does it have
ima li mesa u ovom jelu,does it have meat in this dish
ima li trgovina u blizini,is there a shop near by
ima li wc u blizini,is there a toilet near by
imam ga,i have it
Imam ženu.,I have a wife.
imao sam,i had
imao sam piletinu,i had chicken
"imaš li novca, ne, nemam","do you have money , no , i dont have"
imate li,do you have
imate li stol za četiri osobe,do you have a table for four people
iza tebe,behind you
izgleda,it looks
Izgledaš seksi,you look sexy
izgledaš tako lijepo,you look so beautiful
izgubljen sam,i am lost
izvoli,here you are
izvoli,here you go
izvolite,here you go
ja bih,i would
ja ću napraviti jaja,i will make eggs
ja ću oprati suđe,i'll wash the dishes
ja ću otići,i am going to leave
ja ću platiti,i will pay
ja ne,i don't
ja odlazim,i am leaving
ja također,me too
jake pije pivo,jake is drinking beer
Jake uvijek kasni na posao,jake is always late for work
Jakeu je žao,jake is sorry
jako,very
jako je vruće. kako da upalim klimu,it is very hot. how do i turn on the aircon
jako sam pun,im very full
jako si,you are very
"jako smo umorni, trebamo odmor","we are very tired, we need rest"
je li,is it
je li blizu ili daleko,is it close or far
je li ovo besplatno,is this free
je li ovo mjesto slobodno,is this seat free
je li sve u redu,is everything okay
je li to,is that
Jesi li bio u Australiji,have you been to australia
Jesi li bolestan/na?,are you sick?
jesi li dobro spavao?,did you sleep well?
Jesi li dobro?,are you alright?
jesi li odavde,are you from here
Jesi li ovdje?,are you here?
jesi li siguran,are you sure?
jesi li to čuo/čula,did you here that
Jess je lijepa djevojka,jess is a pretty girl
jess kuha ručak,jess is cooking lunch
jess pije vino,jess is drinking wine
Jess spava,jess is sleeping
Jess voli čips,jess likes chips
jess voli piti,jess likes drinking
Jess voli trčati,jess loves running
jeste li,are you
jeste li imali,did you have
jeste li ručali,did you have lunch
Jeste li svi gladni?,are you hungry everyone
još malo,a little more
Još nešto?,Anything else?
jučer je bilo zabavno,yesterday was fun
Kad ideš?,When are you going?
kada će biti gotovo?,When will it be finished?
kada će biti spreman?,when will it be ready?
kada?,when?
kakav je bio tvoj vikend,how was your weekend
kakav je bio tvoj vikend?,how was your weekend?
kakav ste proveli vikend,How was your weekend?
kakav ti je bio dan,how was your day
kako da upalim svjetlo,how do i turn on the light
Kako je prošao tvoj tjedan?,How has your week been?
kako se osjećaš,how are you feeling
kako se osjećaš danas,how are you feeling today
kako se to zove na hrvatskom,what is that called in croatian
kako si danas,how are you doing today
kako si ti,how are you
kako su svi,how is everybody
Kako ti je bio dan?,how was your day?
kako ti mogu pomoći,how can i help you
Kako vam mogu pomoći?,How can I help you?
kamo da idemo,Where should we go?
kamo ideš,where are you going to
kamo ideš,where are you going?
kasnimo,we are late
koje vrijeme,what time
Koji ti je omiljeni tim?,what is your favourite team?
koju želiš kupiti,which one do you want to buy
Koliko će to trajati?,how long will it take?
koliko imaš godina,how old are you
Koliko je daleko?,How far is it?
Koliko je sati,what time is it
kuham večeru,i'm cooking dinner
loše vrijeme danas,bad weather today
makni se,move away
maknuti se,get away
marko jede ručak,marko is eating lunch
mi ćemo,we will
mi smo,we are
mi smo ovdje,we are here
mi smo žedni,we are thirsty
mirišeš,you smell
mislite li,do you think
mogu li dobiti čašu vode,can i get a glass of water
Mogu li dobiti jelovnik?,Can I have the menu?
mogu li dobiti račun,can i get the bill
"Mogu li ja, možeš li ti, možemo li mi","can i, can you, can we"
mogu li koristiti tvoj WC,can i use your toilet
mogu li platiti račun,can i pay the bill
mogu li ti kupiji piće,Can I buy you a drink?
mogu li upaliti svjetlo,can i turn the light on
Mogu li vam pomoći?,Can I help you?
mogu vidjeti,i can see
moj tjedan je bio odličan,my week was great
"moja žena je gladna, znate li za neki dobar restoran","my wife is hungry, do you know of a good resturant"
"moja žena je gladna, znate li za neki dobar restoran u blizini","my wife is hungry, do you know of a good resturant near by"
moje ime je Jake,my name is jake
moje je,it is mine
moji prijatelji trebaju,my friends need
molim te daj mi,please give me
molim te daj mi malo kruha,please give me some vread
molim te ponovi opet,please repeat again
molim te pričaj mi na hrvatskom,please speak to me in Croatian
Molim Vas (jednu) čašu vina.,"Please, a glass of wine."
Molimo ponovite pitanje.,Please repeat the question.
moram ići na wc,i need to go to the toilet
moram jesti,i need to eat
Moram li ići?,do i have to go?
Moram li to učiniti?,Do I have to do that?
moram li to?,Do I have to do that?
Moram li?,do i have to?
Moram na zahod.,I need to go to the bathroom.
moram oprati zube,i need to brush my teeth
moram počistiti kuću,i need to clean the house
moramo ići,we have to go
morate biti,you must be
može,it can
može jeftinije,can you do cheaper
možemo,we can
možemo ići,we can go
možemo li dobiti još vode,can we get more water
možeš li mi dodati nož i vilicu,can you please pass me a knife and fork
možeš li mi dodati žlicu,can you pass me a spoon
možeš li mi donijeti nož i vilicu,can you get me a knife and fork
možeš li mi donijeti žlicu,can you get me a spoon
Možete kupiti jedan tamo.,You can buy one there.
"Možete li doći ovamo, molim vas?",could you come here please
možete li mi pomoći,cpuld you help me
možete.,You can.
mračno je,it is dark
mrzim to,i hate it
na rasprodaji,on sale
na skupo,to expensive
napravimo zabavu,lets have a party
napravimo zabavu kasnije danas,lets have a party later today
"naravno, još nešto?","of course, anything else?"
naručiti hranu,order food
nauči me hrvatski,teach me some Croatian
nazdravlje,cheers
Nazdravlje!,Cheers!
nazovi ih,call them
nazovimo ih,lets call them
nazvat ću kasnije,i will call back later
ne čujem te,i cant hear you
"ne hvala, to je sve","no thankyou, thats all"
ne mogu,i cant
Ne mogu ništa pronaći,I can’t find anything
ne mogu pronaći svoju torbu,i cant find my bag
ne osjećam se dobro,i dont feel good
ne pijem kavu,i don't drink coffee
Ne razumijem pitanje,i dont understand the question
ne razumiju nas,they dont understand us
Ne vidim ništa,i cant see anything
ne više,no more
ne zaboravi,dont forget
ne želim,I don't want to
ne želim,i dont want
ne želim ništa,i dont want any
ne želim ništa,i dont want anything
ne želim više,i dont want anymore
ne znam kako to reći,i dont know how to say that
Ne znam što da radim,I don't know what to do
ne znam što da radim,i dont know what to do
Ne znam što da radim.,I don't know what to do.
Ne znam što je to,I don't know what that is
Ne znam što to znači,I don't know what that means
Ne znam tu riječ.,I do not know the word.
Ne znam vjerojatno.,I don't know probably.
"ne, nemamo","no, we don't have any"
"ne, nemamo toga","no, we don't have that"
necu,I won't
neću,i am not going to
Nedostaješ mi.,I miss you.
nema and nemam are the same,nema and nemam are the same
nema piva,no beer
nema veze,never mind
Nemam novca,i dont have any money
nemam to,i dont have it
nemam više novca,i dont have any more money
nemoj,do not
nemoj,don't
"Nemoj me jebati.

Hladna piva.

Spreman sam za ići kući.

Znam da jesi.","Don't fuck me.

Cold beers.

i'm ready to go home.

I know you have."
nemoj to raditi,dont do it
nemoj to raditi,don't do that
nesto drugo?,something else?
nije,it is not
nije me briga,i dont care
nije važno,it doesn't matter
nikad nisu pričali o sebi,they never talked about themselves
nikada,never
Nisam,i didnt
Nisam,im not
nisam,i didn't
Nisam gladan/gladna,im not hungry
"Nisam gladan/gladna, jest ću kasnije.",im not hungry. i will eat later
nisam siguran,im not sure
Nisam siguran.,I'm not sure.
Nisam umoran/a,im not tired
ništa posebno,nothing much
obično,usually
Obuci se.,Get dressed.
očistiti kuću,clean the house
odlazili su sutra,were leaving tomorrow
omiljeni,favourite
on je dobar pjevač,he is a good singer
on je zgodan,he is handsome
on nije ovdje,he isnt here
on nije ovdje,he is not here
on želi ići,he wants to go
ona je prekrasna,she is beautiful
Ona je tvoja kći.,She's your daughter.
ona želi nešto,she wants some
operi suđe molim te,wash the dishes please
oprosti što kasnim,sorry im late
oprostite što kasnimo,sorry we are late
osjećam se bolje,i feel better
osjećam se dobro,i feel good
osjećaš li se bolje,do you feel better
osjećaš li se bolje,are you feeling better
Osjećaš li se loše?,are you feeling sick?
osmijeh,smile
otišli smo u,we went to
ovo je moja žena,this is my wife
ovo je sranje,this is shit
pijem pivo,i am drinking beer
plava crvena bijela,blue red white
pogledaj ovdje i nasmiješi se,look here and smile
pojedi malo voća,eat some fruit
pojesti malo hrane,eat some food
ponekad,sometimes
Postavite mi pitanje i ja ću odgovoriti,Ask me a question and i’ll answer
pozvao je,he invited
preko i ispod,over and under
preskupo je,it is too expensive
previše je bučno,its too noisy
previše je mračno,it is too dark
pronaći,find
pun sam,im full
puno ljudi,a lot of people
Pusti mi na miru,Leave me alone
radiš li nešto sutra?,are you doing something tomorrow?
sada,now
"Sada da, molim.

U budućnosti, kada imaću više vremena, može ne.","Now yes, please.

In the future, when I have more time, maybe not."
Sada imam 30 godina.,I'm 30 years old now.
sada ne radim ništa,i am doing nothing now
samo gledam,just looking
samo se opusti,just relax
samo se zabavi,just have fun
samo vidjeti što je što,just seeing whats what
sinoć,last night
Sit sam,i am full
sjedi blizu mene,sit near me
sjediti pod starim drvetom,sit under the old tree
sjesti,sit down
skoro je ponoć,its almost midnight
slušaj me,listen to me
slušaj što govorim,listen to what i am saying
slušati,listen
smiješan/smiješna si,you are funny
smiješno,funny
soba je čista,the room is clean
soba je prljava,the room is dirty
Sretan put,have a nice trip
"stani, makni se","stop, move away"
sto bilo,whatever
što gledaš,what are you watching
što Jake radi,what is jake doing
što je riječ,what is the word
Što je to,what is it
Što je za večeru?,What is for dinner?
što jedeš,what are you eating
što jess radi danas,what is jess doing today
Što mislite o tome?,What do you think about that?
sto mislite tome,What do you think about that?
što nije u redu,what is wrong
što radiš danas popodne,what are you doing this afternoon
što radiš na poslu,what do you do for work
što radiš ovaj vikend,what are you doung this weekend
Što radiš sutra?,what are you doing tomorrow?
što radiš za posao?,what do you do for work?
što radiš za vikend?,what are you doing on the weekend?
"što radiš, ništa","what are you doing, nothing"
Što radiš? Ništa,what are you doing? nothing
što se događa,what is going on
što se događa,what is going on?
što se događa,whats going on
što se događa ovdje,what's going on here
Što se dogodilo,what happened
Što se dogodilo,what hapened
Što se dogodilo?,what happened?
što si danas jeo/jela,what did you have to eat today
što si jeo,what did you eat
što si radio ovaj vikend,what did you do this weekend
što si radio sinoć,what did you do last night
što si radio za vikend,what did you do on the weekend
što si učinio,what did you do?
što ti misliš,what do you think
Što to znači?,What does that mean?
što više to bolje,the more the merrier
što želiš jesti,what do you want to eat
što želiš popiti,what do you want to drink
što želiš za ručak,what do you want for lunch
što želiš?,what do you want?
što želiš? reci mi,what do you want? tell me
Što želite za doručak?,What do you want for breakfast?
što znači ova riječ,what does this word mean
stvarno mi se sviđa,i really like
šuti,shut up
sve izgleda ukusno,everything looks delicious
svi će biti tamo,everyone will be there
Sviđaš mi se,I like you
svidjelo mi se,i loved it
takvo dijete,such a child
tamo,over there
tamo dolje,down there
tamo gore,up there
teško,hard
Tko si ti?,Who are you?
to bi bilo super hvala,that would be great thank you
to boli,that hurtd
to dobro miriše,that smells good
to izgleda dobro,that looks good
to je bilo lako,that was easy
to je bilo smiješno,that was funny
To je knjiga.,That is a book.
to je lako,that is easy
to je lijepo mjesto,it is a nice place
To je loše.,That's bad.
to je njegovo,it is his
to je njezino,it is hers
to je sranje,that Is shit
To je stvarno dobro.,That's really good.
To je sve što imam.,That's all that I have.
tražim svoju torbu,im looking for my bag
tražimo restoran,we're looking for a resturant
trebam olovku,i need a pen
trebam piće,i need a drink
trebam ručak,i need lunch
trebam tuš,i need a shower
trebaš li pomoć,do you need help
u redu je,its okay
učini to,do it
ugasi ga,turn it off
ugasi svjetlo,turn off the light
ugasi svjetlo molim te,turn off the light please
ugasi televiziju,turn the television off
ugasi tv,turn the tv off
ugodan dan,have a good day
ugodan dan na poslu,have a good day at work
ujutro,in the morning
uključi ga,turn it on
upali svjetlo,turn the light on
upaliti svjetlo,turn on the light
"Uzet ću dva, molim",I'll take two please
uzmi ovo,take this
već sam to učinio,i already did it
Večera je bila ukusna.,Dinner was yummy.
večeras,tonight
veliki pas,big dog
vidim...,i see...
vjerojatno,probably
vjerovao sam,i believed it
volim piti,i like drinking
volio bih,I would like
voljeli smo to,we loved it
vratit ću se,i will be back
vrijeme za zabavu,party time
zabavljam se,im having fun
zabavljaš li se?,are you having fun?
zaboravio/la sam telefon,i forgot my phone
žao mi je što kasnim,im sorry i am late
Zašto bi to učinio?,Why would you do that?
zašto ne bi,why dont you
Zašto si to učinio,why did you do that
zatvori oči,shut your eyes
zatvori usta,shut your mouth
zaustavi to,stop it
zaustaviti,stop
"žedni smo, imate li vode","we are thirsty, do you have water"
želim doručak,i feel like breakfast
Želim drugog,I want another one.
Želim još jedan,i want another one
Želim naučiti neke nove riječi na hrvatskom,I want to learn some new words in Croatian
Želim ovaj,i want this one
želim više,i want more
želim znati,i want to know
želio bih naručiti hranu,i would like to order food
želiš li čokoladu,would you like chocolate
želiš li ići,would you like to go
želiš li ići?,do you want to go?
Želiš li igrati nogomet sutra?,Do you want to play soccer tomorrow?
želiš li još,do you want more
želiš li još nešto,do you want anything else
želiš li nešto,do you want something?
Želiš li piće?,would you like a drink
želiš li večerati,do you want to have dinner
želite li nešto naručiti,do you want to order something
živimo u Australiji,we live in australia
život,life
život je lak,life is easy
život je težak,life is hard
Znam što misliš,i know what you mean
znaš li engleski,do you know english
zvuče dobro,they sound good
Zvuči dobro.,That sounds good.
zvuči zabavno,sounds fun
